municipio_entidad,departamento_entidad,codigo_municipio_ent,oferentes_prom,ind_prom_oferentes,perc_contr_cerrada_num,perc_contr_cerrada_val,HHI_cant,HHI_val,ID_cant,ID_val,ofertas_prom,ind_prom_ofertas,ganadoras,IC4K_cant,IC4K_val,perc_tiempo_adiciones,perc_valor_adiciones,ind_valor_adiciones,ind_riesgo_corrupcion,latitud,longitud
Abejorral,Antioquia,5002,NA,NA,77.77777777777779,92.25515307820878,11.11111111111111,65.43924769765287,0,65.43924759371878,NA,NA,0,44.44444444444444,92.03789492923808,22.22222222222222,2.5916079365079363,1.2864814802076436,37.19690369794281,5.76628884775,-75.4656890275
Abrego,Norte de Santander,54003,NA,NA,96.875,97.56060933931607,7.66625,16.645074236660843,2.6666666666666665,16.64507384671357,NA,NA,20.25,40.75,70.93707890743514,3.125,0.48615820996574827,0.24133030492821186,32.47301524227024,7.961907205999999,-73.16759074000001
Abriaquí,Antioquia,5004,NA,NA,76.92307692307693,75.75820415268728,10.059171597633137,12.882389257071786,2.564102564102564,12.882388642176865,NA,NA,15.384615384615385,46.15384615384615,63.19457962888747,0,0,0,27.538180514720064,6.653143085,-76.077048185
Acacias,Meta,50006,32.833333333333336,96.06786427145708,77.63347763347764,77.69763108049345,48.7778995895879,55.52273254093834,18.775632262474367,49.96307239807811,9,88.60759493670886,14.754689754689755,84.63203463203463,95.69170990034513,12.987012987012987,3.3932135728542914,1.6844007762023951,45.396275573054076,3.9882049999999998,-73.765802
Acandí,Chocó,27006,17,97.96407185628743,25,47.047864798443264,58.33333333333333,68.60631129649694,0,37.21262243179562,6,92.40506329113924,0,66.66666666666666,96.41919682513222,0,0,0,38.09903246341822,8.48795685925,-77.2618324375
Acevedo,Huila,41006,NA,NA,97.5,98.03264963406492,69.11574074074073,75.49015275118106,43.27838827838828,68.48733798088499,NA,NA,27.962962962962965,90.71428571428571,95.97766909609217,7.685185185185184,13.031091865627104,6.468670710509842,55.22596450781626,1.7814513262,-75.939344218
Achí,Bolívar,13006,NA,NA,96.29629629629629,88.2215414677232,46.91358024691358,53.71507025213744,7.5,30.572603343717518,NA,NA,16.666666666666668,80.55555555555554,94.42761088231083,0,0,0,43.04259992924074,8.578533003666667,-74.51769117611111
Agrado,Huila,41013,NA,NA,100,100,72.03611111111111,79.03469185796638,45.17094017094017,65.057819397028,NA,NA,28.166666666666668,76.66666666666667,84.14923485017982,3.5,2.6844423020201438,1.3325647207610767,51.84968924283613,2.224062597,-75.72583564666667
Agua de Dios,Cundinamarca,25001,NA,NA,77.77777777777777,77.77777777777777,53.935641756154574,66.17195915921555,9.273504273504273,49.25793805610297,NA,NA,13.532763532763532,89.31623931623932,97.14358718717607,12.606837606837608,6.181508317455543,3.068518142011684,43.260322918224695,4.375312017,-74.66921778
Aguachica,Cesar,20011,23.5,97.18562874251498,74.07407407407408,73.84629191587018,67.66666666666667,71.8019240337883,1.0526315789473684,36.55432375300539,5.5,93.0379746835443,2.7777777777777777,86.25,94.75152453321903,6.19047619047619,2.9033703434864817,1.4412412172623494,44.70739385382075,8.191252773636364,-73.6603323290909
Aguada,Santander,68013,NA,NA,100,100,28,37.53220620115721,10,37.53220538656756,NA,NA,19.999999999999996,100,100,0,0,0,45.04838238192338,6.162237533,-73.52323684
Aguadas,Caldas,17013,NA,NA,96.59863945578232,93.3491327918454,24.70776065528252,39.10440175391536,0.7086167800453514,39.10439906641383,NA,NA,10.884353741496598,68.84353741496598,85.81001256959729,5.442176870748299,2.426303692905734,1.2044239880236536,39.007214519509866,5.6289186243,-75.489252792
Aguazul,Casanare,85010,NA,NA,96.875,91.96477873880873,24.75,31.611350008798365,4.038231780167264,31.611346290380443,NA,NA,20.416666666666668,69.16666666666667,81.40458065230335,4.375,0.8520634920634921,0.4229667177118472,38.716118611198766,5.1469359012,-72.599790239
Agustín Codazzi,Cesar,20013,NA,NA,97.22222222222221,99.86614087537494,69.9074074074074,80.5509568524995,1.5151515151515151,41.652870537642336,NA,NA,2.777777777777779,41.666666666666664,90.78174790956834,0,0,0,44.998093378704,9.9417785664,-73.2433854
Aipe,Huila,41016,NA,NA,98.48484848484848,99.42756462307206,13.689929599020509,21.764364781452034,0.1443001443001443,21.764362792644665,NA,NA,1.5151515151515138,55.72390572390572,76.90644932412214,0,0.5411255411255412,0.26861624295817416,33.49693236181421,3.2544124081666665,-75.38393217333333
Albán,Cundinamarca,25019,NA,NA,40,21.164184136256907,10.222222222222223,44.47757001182297,3.8095238095238098,44.47756989658151,NA,NA,19.999999999999996,46.666666666666664,91.28233724362083,0,0,0,25.238409462737582,4.9009268952500005,-74.4462309875
Albán,Nariño,52019,NA,NA,95.83333333333333,98.97488410649237,70.05208333333333,74.32755256182267,4.166666666666666,22.982657525430778,NA,NA,8.333333333333334,50,81.66417452681205,0,0,0,44.79983033934618,1.4833111205,-77.0756764125
Albania,Caquetá,18029,NA,NA,100,100,50,82.37118586116462,0,82.37118543063909,NA,NA,0,100,100,0,11.67076167076167,5.793398969746567,49.985031500152076,1.2071806084999999,-75.89646709750001
Albania,La Guajira,44035,NA,NA,80,82.04326801870114,70.07407407407408,79.96316050363133,51.904761904761905,69.94474074961366,NA,NA,28.88888888888889,73.33333333333333,98.62679174396219,2.2222222222222223,1.1058451816745654,0.5489446633344298,49.462696503687724,11.198297456666666,-72.51536388
Albania,Santander,68020,NA,NA,100,100,75,75.9275227326798,0,51.855044238356164,NA,NA,0,100,100,0,0,0,47.81159297569816,5.796024487,-73.8211791075
