nombre_grupo,oferentes_prom,ind_prom_oferentes,perc_contr_cerrada_num,perc_contr_cerrada_val,HHI_cant,HHI_val,ID_cant,ID_val,ofertas_prom,ind_prom_ofertas,ganadoras,IC4K_cant,IC4K_val,perc_tiempo_adiciones,perc_valor_adiciones,ind_valor_adiciones,ind_riesgo_corrupcion
Componentes y Suministros,35.88778263356405,97.38617752122622,78.63635848388222,80.29559073334723,5.491216267334082,21.94761157226761,1.258357640562507,21.947611407167464,8.733440147372038,74.3134113312587,14.629257316117256,25.927822489719727,63.868035004775564,4.375246182350639,1.5848101940222978,3.1696203880445957,34.45799956804584
"Maquinaria, Herramientas, Equipo Industrial y Vehículos",29.36111111111111,97.86153597151412,64.71579855551147,71.00846330894484,11.036659213525756,42.019438923021056,1.537793944492509,42.01943881171569,10.055555555555555,70.42483660130719,6.256411053061771,44.74298030518126,83.88933242971966,6.371570755734978,2.6047764549793566,5.209552909958713,36.99414565878692
Material Vivo Animal y Vegetal,15,98.90750182083029,57.2010582010582,48.873531247273604,9.001132912012542,44.22088305625658,0.5559049615653389,44.22088287689478,3.466666666666667,89.80392156862744,3.9814814814814814,37.89153439153439,88.38914147927748,6.965986394557823,1.7812557121614079,3.5625114243228158,33.52108467021567
Materias Primas,25.304842706313295,98.15696702794513,76.15712570750387,76.40972090930444,7.206603644482678,30.507365403625194,2.3463131181503214,30.507365328301095,7.217065287653523,78.77333738925435,19.0616589739091,33.51362160275377,64.56007957732719,5.146930307018232,1.7295263805879852,3.4590527611759705,35.76274191664005
Productos de Uso Final,27.825584298568312,97.97337332129874,80.4083182561489,80.95248994150252,9.510723169753422,23.9166543271358,3.275366594940339,23.916653947947097,6.980559831360498,79.46894167246913,14.489580661253479,35.743097371328254,64.97405939837628,4.468589356535611,1.7321089812956845,3.464217962591369,35.20676714199877
Servicios,61.69273476062646,95.50671997373442,85.30665205010742,84.23201184476783,4.958813516653076,22.304865058678832,1.0592041775498293,22.30486490179502,3.54625491947458,89.56983847213358,14.200163575940932,23.809607697569977,64.02646551441921,8.928842368348443,4.125708631250148,8.251417262500295,36.84057995497406
"Terrenos, Edificios, Estructuras y vías",80.5,94.13692643845593,89.60714285714286,80.7408267994948,12.064466492479344,43.15520611986029,1.98637636872931,43.155205998953505,2,94.11764705882354,9.983193277310926,50.90126050420167,86.46192434590239,8.920083184789068,2.665255769075232,5.330511538150464,40.10489312495677
