nombre_entidad,municipio_entidad,codigo_municipio_ent,codigo_departamento_ent,orden_entidad,departamento_entidad,latitud,longitud,oferentes_prom,ind_prom_oferentes,perc_contr_cerrada_num,perc_contr_cerrada_val,HHI_cant,HHI_val,ID_cant,ID_val,ofertas_prom,ind_prom_ofertas,ganadoras,IC4K_cant,IC4K_val,perc_tiempo_adiciones,perc_valor_adiciones,ind_valor_adiciones,ind_riesgo_corrupcion
ANTIOQUIA  ALC. TURBO,Turbo,5837,5,TDM6,Antioquia,8.090149372305556,-76.65369989638889,NA,NA,79.3103448275862,92.9521701882996,4.161712247324613,31.537290261935368,0.7389162561576355,31.53729024388074,NA,NA,10.344827586206895,24.137931034482758,76.88649732663062,13.793103448275861,1.9650503390359637,0.9754565238181337,30.618481821795786
NORTE DE SANTANDER  ALC. TOLEDO,Toledo,54820,54,TDM6,Norte de Santander,7.193404116666667,-72.38627504,NA,NA,97.43589743589743,98.00186489053911,4.0105193951347795,30.946006486500067,1.484480431848853,30.9460063110879,NA,NA,28.205128205128204,20.51282051282051,72.90883405938297,7.6923076923076925,11.538461538461538,5.727724811385068,34.40582231449147
NARIÑO  ALC. LA CRUZ,La Cruz,52378,52,TDM6,Nariño,1.6060968392,-76.957353034,NA,NA,67.85714285714286,69.15937146945787,7.653061224489795,14.112588950634095,4.232804232804233,14.112588670169087,NA,NA,42.85714285714286,42.857142857142854,62.02259022527361,3.571428571428571,3.121518609949376,1.5495306312552966,28.99948386242922
CAUCA  ALC. ROSAS,Rosas,19622,19,TDM6,Cauca,2.25086740125,-76.741337295,NA,NA,95,97.84866819700885,9,25.92642905716114,4.2105263157894735,25.926428883736076,NA,NA,30.000000000000004,50,77.08997929111355,0,0,0,35.37050935100664
BOYACÁ  ALC. SABOYÁ,Saboyá,15632,15,TDM6,Boyacá,5.726268376,-73.74986898,NA,NA,25,54.06498924499515,12.5,24.270990035501203,0,24.270989617058174,NA,NA,0,50,85.72946142844226,50,31.50041076845298,15.636892641698422,31.70024946537182
SANTANDER  EMPRESA MPAL. DE SERVICIOS PÚBLICOS DE VÉLEZ EMPREVEL ESP,Vélez,68861,68,TDD,Santander,6.05706835,-73.6836046275,NA,NA,100,100,68,83.3347361333221,60,83.33473460439868,NA,NA,60,100,100,0,0,0,61.03043055757474
EMPRESAS PUBLICAS DE TERUEL SA ESP,Teruel,41801,41,TDC,Huila,2.740968416,-75.56703425,NA,NA,100,100,100,100,NA,NA,NA,NA,0,NA,NA,0,0,0,50
BOLÍVAR  ALC. ARROYOHONDO,Arroyohondo,13062,13,TDM6,Bolívar,10.234914693333334,-75.026486535,NA,NA,100,100,20,35.295341535908626,0,35.29534136149676,NA,NA,0,80,96.22629020590607,0,0,0,39.22923924925588
VALLE DEL CAUCA  ESE HOSP. ISAÍAS DUARTE CANCINO  CALI,Cali,76001,76,TDD,Valle del Cauca,3.406996142924528,-76.56139954018867,NA,NA,100,100,9.750566893424036,67.15602881492725,5.238095238095238,67.15602879278063,NA,NA,33.333333333333336,52.38095238095237,94.46469700141921,0,0,0,42.029424878377405
CUNDINAMARCA  ALC. UBAQUE,Ubaque,25841,25,TDM6,Cundinamarca,4.483802095,-73.93346087,NA,NA,94.44444444444444,85.57640651695554,4.4753086419753085,15.249456583770952,1.746031746031746,15.249456248237417,NA,NA,27.77777777777778,25,71.57386038050349,2.7777777777777777,0,0,29.874642169930638
CUNDINAMARCA  ALC. EL COLEGIO,El Colegio,25245,25,TDM6,Cundinamarca,4.5602372978,-74.438888612,NA,NA,91.66666666666666,94.357828057445,12.499999999999998,48.903221833114046,4.545454545454546,48.90322167306918,NA,NA,16.666666666666664,50,89.0435964942641,8.333333333333332,0,0,37.81970614517676
CUNDINAMARCA  ALC. VIOTÁ,Viotá,25878,25,TDM6,Cundinamarca,4.4362048095,-74.5087727275,NA,NA,80,82.13308453274072,20,27.767763320851564,0,27.767762673366477,NA,NA,0,80,94.62163893219167,20,3.076923076923077,1.527393283036018,37.1933457405221
ANTIOQUIA  ALC. YARUMAL,Yarumal,5887,5,TDM6,Antioquia,7.030237125875,-75.45540252,NA,NA,77.77777777777779,95.4553505494254,7.4074074074074066,33.09351048173611,1.9607843137254901,33.093510401602124,NA,NA,16.666666666666664,38.888888888888886,84.20791804993593,16.666666666666664,5.654320987654321,2.806820866418658,34.59873751420939
NARIÑO  ALC. LINARES,Linares,52411,52,TDM6,Nariño,1.370715456857143,-77.52881705285715,NA,NA,57.14285714285714,75.06155709534077,11.224489795918366,25.145011917318275,4.395604395604396,25.145011536168283,NA,NA,21.42857142857143,50,79.57151819517317,14.285714285714285,5.204612870459487,2.5835844902213543,31.45850196519806
CUNDINAMARCA  ESE HOSP. PEDRO LEÓN ÁLVAREZ DÍAZ  LA MESA,La Mesa,25386,25,TDD,Cundinamarca,4.65490883225,-74.4689964325,NA,NA,100,100,2.75,13.405451323412827,0.2564102564102564,13.405451194334297,NA,NA,5.000000000000004,15.000000000000002,67.73322810197257,5,0,0,28.104099061981422
NARIÑO  ALC. ALDANA,Aldana,52022,52,TDM6,Nariño,0.8715145950000001,-77.68937452,NA,NA,78.94736842105263,93.68586575308822,8.033240997229916,22.918165897476815,2.923976608187134,22.918165689875014,NA,NA,21.052631578947366,42.10526315789473,80.6094145403277,15.789473684210526,5.623785607643309,2.791663017763432,34.043713569438346
PUTUMAYO  ALC. PUERTO ASÍS,Puerto Asís,86568,86,TDM6,Putumayo,0.47637289881818184,-76.54012877636363,NA,NA,96.3963963963964,96.08527370367455,2.1994967940913885,7.064299536108244,1.3104013104013106,7.064299495862018,NA,NA,45.945945945945944,14.414414414414415,47.46867329144154,0,0,0,28.262263762952163
ANTIOQUIA  ALC. URAMITA,Uramita,5842,5,TDM6,Antioquia,6.87842414675,-76.142069925,NA,NA,93.75,91.71418725298079,10.9375,14.50132658745359,5,14.501326233134792,NA,NA,31.25,56.25,66.12119871000925,6.25,2.7083333333333335,1.3444242960056618,34.529724561798425
ANTIOQUIA  ALC. GIRALDO,Giraldo,5306,5,TDM6,Antioquia,6.6875796755,-75.95055192000001,NA,NA,87.5,89.97074784740072,12.5,14.591631333849056,0,14.591630620030664,NA,NA,0,50,66.86167934578653,0,0,0,29.2203689570033
ANTIOQUIA  ESE HOSP. SAN JUAN DE DIOS  COCORNÁ,Cocorná,5197,5,TDC,Antioquia,6.042443199666667,-75.16062395,NA,NA,100,100,9.090909090909093,10.16553912904134,0,10.165538346056488,NA,NA,0,36.36363636363637,51.876815955481746,0,0,0,27.954263685369867
RISARALDA  ALC. PUEBLO RICO,Pueblo Rico,66572,66,TDM6,Risaralda,5.2932469373333335,-76.05845630333333,NA,NA,100,100,7.958477508650518,8.82626962665587,2.2058823529411766,8.826269108040426,NA,NA,17.647058823529417,41.17647058823529,47.65423570662004,5.88235294117647,2.941176470588235,1.4600082852550171,30.52290293669564
VALLE DEL CAUCA   ESE HOSP. PILOTO JAMUNDI,Jamundí,76364,76,TDC,Valle del Cauca,3.207510008192308,-76.58441089576924,NA,NA,100,100,12.96,18.350160675965142,9.333333333333334,18.350160632993067,NA,NA,52,64,78.55511974435973,16,7.266666372053003,3.6071936571896765,42.006588525718264
GOBERNACIÓN DE BOYACÁ - SECRETARIA CONTRATACION,Tunja,15001,15,Territorial,Boyacá,5.539953238,-73.35548873,41.96296296296296,94.97449545353737,96.29629629629629,99.49052460437598,3.9094650205761314,8.083306040481267,2.0964360587002098,8.083306033100326,5.814814814814815,92.63947491795594,27.77777777777778,29.629629629629626,46.317408881628374,NA,0,0,41.76790122341325
QUINDÍO  HOSP. DEPTAL. UNIVERSITARIO SAN JUAN DE DIOS DEL QUINDÍO,Armenia,63001,63,TDD,Quindío,4.484716031272727,-75.73460831545455,NA,NA,100,100,5.215419501133787,28.56349590727601,0.4761904761904762,28.563495892135123,NA,NA,4.761904761904767,23.809523809523807,82.08095031803684,38.095238095238095,10.883517715202919,5.402608852551445,36.29898631245983
